S1,S2,K,T,sigma1,sigma2,r,rho,option_type,M,Geometric,Arithmetic MC,MC Confidence Interval,Arithmetic Control Variate,Control Variate Confidence Interval
100,100,100,3,0.3,0.3,0.05,0.5,put,100000,11.491572667960924,10.466378716729764,"[10.372464163597392, 10.560293269862136]",10.564393735578507,"[10.552227382333314, 10.576560088823701]"
100,100,100,3,0.3,0.3,0.05,0.9,put,100000,12.62235016108495,12.32129411781598,"[12.21651858595268, 12.426069649679278]",12.427533327945527,"[12.424819419885578, 12.430247236005476]"
100,100,100,3,0.1,0.3,0.05,0.5,put,100000,6.586380620124538,5.46238832611456,"[5.405552770509975, 5.519223881719145]",5.51040502113244,"[5.50185610188287, 5.51895394038201]"
100,100,80,3,0.3,0.3,0.05,0.5,put,100000,4.711576628546802,4.1965535173360955,"[4.141729923438758, 4.251377111233433]",4.247495796149503,"[4.239785029583501, 4.255206562715504]"
100,100,120,3,0.3,0.3,0.05,0.5,put,100000,21.289105159772674,19.753824308688227,"[19.62071664330017, 19.886931974076283]",19.861795059592573,"[19.845428461443152, 19.878161657741995]"
100,100,100,3,0.5,0.5,0.05,0.5,put,100000,23.469148023956826,20.934344184865836,"[20.78864598731562, 21.080042382416053]",21.045976606365187,"[21.017715592848766, 21.074237619881607]"
100,100,100,3,0.3,0.3,0.05,0.5,call,100000,22.10209279760944,24.464985376355806,"[24.22366085195602, 24.706309900755592]",24.51797440602679,"[24.486747651518087, 24.549201160535496]"
100,100,100,3,0.3,0.3,0.05,0.9,call,100000,25.87882552643603,26.28607009506749,"[26.011099992841423, 26.561040197293558]",26.361980733041445,"[26.355553179372617, 26.368408286710274]"
100,100,100,3,0.1,0.3,0.05,0.5,call,100000,17.924736605796905,19.4639949610673,"[19.29075778009966, 19.63723214203494]",19.45668425589005,"[19.437467787993604, 19.475900723786495]"
100,100,80,3,0.3,0.3,0.05,0.5,call,100000,32.53625628669646,35.40931970546329,"[35.14041746140057, 35.67822194952601]",35.41149419654631,"[35.37925708553135, 35.443731307561265]"
100,100,120,3,0.3,0.3,0.05,0.5,call,100000,14.685465760920023,16.538271439813116,"[16.328717523666988, 16.747825355959243]",16.601105186279785,"[16.571570881927123, 16.630639490632447]"
100,100,100,3,0.5,0.5,0.05,0.5,call,100000,28.44938651945445,34.90661009301606,"[34.43435084246454, 35.37886934356759]",35.03164920142894,"[34.92548581232143, 35.13781259053645]"
